valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,testResult,testResult_type,value,pop,incValue,prct,inc14d,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-W12,iso_week,BL,canton,all,agegroup_ili_ari,all,positive,all,225,290969,77.33,3.4,104.48,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,BS,canton,all,agegroup_ili_ari,all,positive,all,294,196735,149.44,4.5,227.72,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,FL,country,all,agegroup_ili_ari,all,positive,all,34,39055,87.06,0.5,120.34,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,FR,canton,all,agegroup_ili_ari,all,positive,all,172,325496,52.84,2.6,66.67,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,GE,canton,all,agegroup_ili_ari,all,positive,all,794,506343,156.81,12.1,215.66,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,GL,canton,all,agegroup_ili_ari,all,positive,all,21,40851,51.41,0.3,75.89,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,GR,canton,all,agegroup_ili_ari,all,positive,all,221,200096,110.45,3.4,149.93,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,48,73709,65.12,0.7,89.54,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,153,416347,36.75,2.3,44.19,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,117,175894,66.52,1.8,92.1,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,32,43520,73.53,0.5,96.51,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,OW,canton,all,agegroup_ili_ari,all,positive,all,10,38108,26.24,0.2,65.6,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,SG,canton,all,agegroup_ili_ari,all,positive,all,163,514504,31.68,2.5,40.23,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,SH,canton,all,agegroup_ili_ari,all,positive,all,30,83107,36.1,0.5,38.5,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,SO,canton,all,agegroup_ili_ari,all,positive,all,78,277462,28.11,1.2,34.6,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,SZ,canton,all,agegroup_ili_ari,all,positive,all,60,162157,37,0.9,50.57,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,TG,canton,all,agegroup_ili_ari,all,positive,all,61,282909,21.56,0.9,27.22,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,TI,canton,all,agegroup_ili_ari,all,positive,all,791,350986,225.37,12.1,326.22,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,UR,canton,all,agegroup_ili_ari,all,positive,all,19,36819,51.6,0.3,51.6,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,VD,canton,all,agegroup_ili_ari,all,positive,all,1440,814762,176.74,22,240.68,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,VS,canton,all,agegroup_ili_ari,all,positive,all,412,348503,118.22,6.3,143.76,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,ZG,canton,all,agegroup_ili_ari,all,positive,all,32,128794,24.85,0.5,32.61,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,ZH,canton,all,agegroup_ili_ari,all,positive,all,798,1553423,51.37,12.2,67.46,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,unknown,canton,all,agegroup_ili_ari,all,positive,all,0,NA,NA,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,CH,country,all,agegroup_ili_ari,all,positive,all,6558,8670300,75.64,99.5,101.76,NA,NA,NA,NA,NA,TRUE
cases,2020-W12,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,positive,all,6592,8709355,75.69,100,101.84,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,AG,canton,all,agegroup_ili_ari,all,positive,all,272,694072,39.19,3.7,67,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,AI,canton,all,agegroup_ili_ari,all,positive,all,6,16293,36.83,0.1,73.65,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,AR,canton,all,agegroup_ili_ari,all,positive,all,20,55309,36.16,0.3,74.13,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,BE,canton,all,agegroup_ili_ari,all,positive,all,353,1043132,33.84,4.8,69.02,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,BL,canton,all,agegroup_ili_ari,all,positive,all,240,290969,82.48,3.3,159.81,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,BS,canton,all,agegroup_ili_ari,all,positive,all,278,196735,141.31,3.8,290.75,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,FL,country,all,agegroup_ili_ari,all,positive,all,17,39055,43.53,0.2,130.59,rising,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,FR,canton,all,agegroup_ili_ari,all,positive,all,241,325496,74.04,3.3,126.88,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,GE,canton,all,agegroup_ili_ari,all,positive,all,1163,506343,229.69,15.8,386.5,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,GL,canton,all,agegroup_ili_ari,all,positive,all,21,40851,51.41,0.3,102.81,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,GR,canton,all,agegroup_ili_ari,all,positive,all,207,200096,103.45,2.8,213.9,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,74,73709,100.39,1,165.52,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,178,416347,42.75,2.4,79.5,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,150,175894,85.28,2,151.8,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,30,43520,68.93,0.4,142.46,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,OW,canton,all,agegroup_ili_ari,all,positive,all,14,38108,36.74,0.2,62.98,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,SG,canton,all,agegroup_ili_ari,all,positive,all,184,514504,35.76,2.5,67.44,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,SH,canton,all,agegroup_ili_ari,all,positive,all,11,83107,13.24,0.1,49.33,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,SO,canton,all,agegroup_ili_ari,all,positive,all,94,277462,33.88,1.3,61.99,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,SZ,canton,all,agegroup_ili_ari,all,positive,all,45,162157,27.75,0.6,64.75,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,TG,canton,all,agegroup_ili_ari,all,positive,all,65,282909,22.98,0.9,44.54,NA,NA,NA,NA,NA,TRUE
cases,2020-W13,iso_week,TI,canton,all,agegroup_ili_ari,all,positive,all,866,350986,246.73,11.8,472.1,NA,NA,NA,NA,NA,TRUE
